Player,Age_x,2023-24,2024-25,2025-26,2026-27,2027-28,2028-29,Guaranteed,Rk,Age_y,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Ben Simmons,27,$37893408,$40338144,,,,,$78231552,7,27,12,10,25.7,3.2,5.3,0.594,0.0,0.0,,3.2,5.3,0.594,0.594,0.5,1.2,0.429,2.3,6.2,8.4,6.5,0.8,0.7,2.1,2.7,6.8
Cameron Johnson,27,$25679348,$23625000,$21570652,$23625000,,,$94500000,5,27,41,40,28.2,5.0,11.1,0.455,2.4,6.1,0.4,2.6,5.0,0.522,0.565,1.1,1.6,0.734,1.1,3.6,4.7,2.6,0.8,0.3,1.0,1.9,13.7
Mikal Bridges,27,$21700000,$23300000,$24900000,,,,$69900000,1,27,54,54,35.2,7.6,16.9,0.452,2.6,6.9,0.371,5.1,10.0,0.508,0.528,3.9,4.6,0.829,0.8,4.0,4.9,3.7,0.9,0.4,2.2,1.6,21.7
Dorian Finney-Smith,30,$13932008,$14924167,$15378480,,,,$28856175,6,30,45,34,28.1,3.2,7.8,0.409,2.0,5.3,0.376,1.2,2.5,0.478,0.536,0.4,0.6,0.654,1.6,3.0,4.6,1.4,0.7,0.6,0.8,2.3,8.7
Dennis Schröder,30,$12405000,$13025250,,,,,$25430250,8,30,3,1,25.3,3.7,10.3,0.355,1.7,4.3,0.385,2.0,6.0,0.333,0.435,0.3,1.0,0.333,0.0,3.7,3.7,5.3,0.0,0.0,2.0,2.0,9.3
Nic Claxton,24,$9625000,,,,,,$9625000,4,24,44,44,29.4,5.3,8.5,0.625,0.0,0.1,0.25,5.3,8.5,0.629,0.626,1.5,2.6,0.57,2.9,7.3,10.2,1.9,0.6,2.3,1.2,2.5,12.2
Noah Clowney,19,$3089520,$3244080,$3398640,$5414034,,,$6333600,18,19,7,0,9.9,1.6,2.6,0.611,0.1,0.6,0.25,1.4,2.0,0.714,0.639,0.9,0.9,1.0,0.9,1.0,1.9,0.9,0.0,0.1,0.4,0.7,4.1
Dariq Whitehead,19,$2966040,$3114240,$3262560,$5366912,,,$6080280,16,19,2,0,12.0,0.5,2.5,0.2,0.0,1.5,0.0,0.5,1.0,0.5,0.2,0.5,1.0,0.5,0.0,2.0,2.0,1.5,0.0,0.5,0.0,0.0,1.5
Keita Bates-Diop,28,$2346614,$2654644,,,,,$5001258,19,28,2,0,8.0,2.0,2.5,0.8,0.5,0.5,1.0,1.5,2.0,0.75,0.9,0.0,0.0,,0.0,0.5,0.5,0.0,0.5,0.0,0.5,0.0,4.5
Cam Thomas,22,$2240160,$4041249,,,,,$2240160,3,22,45,30,29.7,7.6,17.3,0.439,2.0,5.6,0.364,5.6,11.8,0.474,0.497,3.9,4.7,0.839,0.4,2.5,2.8,2.6,0.7,0.3,1.8,2.1,21.2
Day'Ron Sharpe,22,$2210040,$3989122,,,,,$2210040,13,22,39,1,15.7,2.9,5.1,0.581,0.1,0.2,0.25,2.9,4.9,0.595,0.586,1.5,2.4,0.63,2.7,4.1,6.8,1.4,0.5,0.8,1.0,2.3,7.4
Dennis Smith Jr.,26,$2019706,,,,,,$2019706,10,26,38,1,20.0,2.9,6.6,0.44,0.5,1.9,0.274,2.4,4.7,0.508,0.48,0.8,1.1,0.78,1.1,2.3,3.3,4.0,1.2,0.3,1.2,2.3,7.2
Lonnie Walker IV,25,$2019706,,,,,,$2019706,11,25,34,0,18.1,4.2,8.9,0.474,2.1,4.8,0.433,2.1,4.1,0.522,0.591,1.0,1.4,0.761,0.3,1.8,2.1,1.6,0.7,0.3,1.0,1.2,11.5
Trendon Watford,23,$2019706,,,,,,,15,23,38,0,12.1,2.4,4.4,0.542,0.3,0.9,0.382,2.0,3.5,0.583,0.581,0.9,1.0,0.872,0.8,1.8,2.7,1.4,0.4,0.2,0.7,1.6,6.0
Keon Johnson,21,,,,,,,,12,21,3,0,15.7,2.0,5.3,0.375,1.3,2.7,0.5,0.7,2.7,0.25,0.5,2.7,2.7,1.0,0.7,0.7,1.3,1.0,1.0,0.3,1.0,1.0,8.0
Jalen Wilson,23,,,,,,,,14,23,16,1,14.6,1.9,3.8,0.5,0.7,1.3,0.524,1.2,2.4,0.487,0.592,1.1,1.2,0.895,1.2,1.4,2.6,1.3,0.3,0.1,0.3,1.1,5.5
Harry Giles,25,$2019706,,,,,,$2019706,20,25,16,0,5.1,1.4,2.8,0.5,0.2,0.7,0.273,1.2,2.1,0.576,0.534,0.4,0.8,0.538,0.8,0.9,1.6,0.4,0.1,0.2,0.4,0.9,3.4
