Player,Age_x,2023-24,2024-25,2025-26,2026-27,2027-28,2028-29,Guaranteed,Rk,Age_y,G,GS,MP▼,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Fred VanVleet,29,$40806300,$42846615,$44886930,,,,$128539845,1,29,46,46,36.8,5.5,13.5,0.41,2.9,7.7,0.375,2.7,5.8,0.457,0.517,2.6,3.1,0.858,0.4,3.4,3.8,8.3,1.1,0.9,1.6,2.3,16.6
Dillon Brooks,28,$22627671,$22255493,$21124110,$19992727,,,$86000001,4,28,39,39,31.2,5.0,10.8,0.459,1.9,4.8,0.39,3.1,6.1,0.513,0.545,1.9,2.3,0.83,0.7,2.8,3.5,1.5,0.9,0.1,1.4,3.7,13.7
Jalen Green,21,$9891480,$12483048,,,,,$22374528,5,21,48,48,30.8,6.3,15.1,0.416,2.1,6.6,0.321,4.1,8.5,0.49,0.486,3.7,4.5,0.812,0.4,4.4,4.8,3.3,0.7,0.3,2.1,1.3,18.4
Jeff Green,37,$9600000,$9600000,,,,,$19200000,10,37,46,4,16.6,2.0,4.0,0.503,0.3,1.2,0.281,1.7,2.7,0.603,0.546,1.8,2.1,0.837,0.6,1.5,2.1,0.7,0.2,0.5,0.7,1.5,6.1
Jabari Smith Jr.,20,$9326520,$9770880,$12350392,,,,$19097400,3,20,43,43,31.4,5.0,10.5,0.471,1.7,4.5,0.375,3.3,6.0,0.542,0.551,1.8,2.2,0.811,1.9,6.5,8.4,1.5,0.6,0.7,1.2,2.8,13.4
Amen Thompson,21,$8809320,$9249960,$9690600,$12258609,,,$18059280,11,21,29,1,16.6,2.6,5.3,0.497,0.2,1.2,0.171,2.4,4.1,0.593,0.516,1.3,1.9,0.696,1.1,3.3,4.4,2.2,1.1,0.4,1.3,2.1,6.8
Jock Landale,28,$8000000,$8000000,$8000000,$8000000,,,$24000000,13,28,27,0,9.2,0.9,2.3,0.387,0.1,0.6,0.118,0.8,1.7,0.489,0.403,0.4,0.6,0.733,1.3,0.8,2.1,0.6,0.3,0.4,0.4,1.0,2.3
Jae'Sean Tate,28,$6500000,$7065217,,,,,$6500000,7,28,45,9,18.1,1.8,3.9,0.477,0.4,1.4,0.292,1.4,2.4,0.587,0.532,0.4,0.6,0.714,1.0,2.3,3.3,1.1,0.7,0.2,0.4,2.4,4.6
Alperen Şengün,21,$3536280,$5424654,,,,,$8960934,2,21,48,48,32.6,8.6,15.9,0.544,0.6,2.0,0.284,8.1,13.9,0.581,0.562,3.9,5.4,0.724,2.7,6.6,9.3,5.1,1.2,0.7,2.6,3.3,21.7
Tari Eason,22,$3527160,$3695160,$5675766,,,,$7222320,6,22,22,0,21.8,4.0,8.6,0.466,0.8,2.3,0.36,3.2,6.3,0.504,0.513,1.0,1.5,0.636,2.1,4.9,7.0,1.2,1.4,0.9,0.9,2.3,9.8
Cam Whitmore,19,$3218160,$3379080,$3539760,$5458310,,,$6597240,9,19,25,1,16.7,4.4,8.9,0.491,1.6,4.1,0.398,2.7,4.8,0.571,0.583,1.4,2.1,0.673,0.8,3.1,3.8,0.4,0.7,0.2,0.6,1.3,11.8
Reggie Bullock,32,$2019706,,,,,,$2019706,12,32,19,0,9.2,0.9,2.2,0.405,0.6,1.6,0.387,0.3,0.6,0.455,0.548,0.1,0.1,1.0,0.1,1.2,1.3,0.5,0.2,0.1,0.3,0.5,2.5
Aaron Holiday,27,$2019706,,,,,,,8,27,45,1,17.0,2.3,5.2,0.444,1.1,2.9,0.395,1.2,2.3,0.505,0.553,0.7,0.8,0.912,0.3,1.6,1.8,1.7,0.5,0.1,0.8,1.5,6.4
Boban Marjanović,35,$2019706,,,,,,,15,35,9,0,5.3,1.1,2.3,0.476,0.0,0.2,0.0,1.1,2.1,0.526,0.476,0.3,0.7,0.5,0.7,1.8,2.4,0.4,0.0,0.1,0.2,0.4,2.6
Jeenathan Williams,24,,,,,,,,14,24,7,0,7.9,1.4,3.3,0.435,0.1,0.4,0.333,1.3,2.9,0.45,0.457,0.6,0.7,0.8,0.7,0.1,0.9,0.4,0.3,0.0,0.1,0.7,3.6
Jermaine Samuels,25,,,,,,,,16,25,10,0,4.9,0.6,0.9,0.667,0.0,0.2,0.0,0.6,0.7,0.857,0.667,0.2,0.2,1.0,0.2,0.8,1.0,0.2,0.1,0.1,0.0,0.4,1.4
Nate Hinton,24,,,,,,,,17,24,9,0,4.2,0.7,1.4,0.462,0.4,0.7,0.667,0.2,0.8,0.286,0.615,0.0,0.0,,0.2,0.7,0.9,0.2,0.1,0.1,0.2,0.8,1.8
