,Player,Age,Salary
0,Julius Randle,29.0,28226880
1,Jalen Brunson,27.0,26346666
2,Evan Fournier,31.0,18857143
3,OG Anunoby,26.0,18642857
4,Mitchell Robinson,25.0,15681818
5,Josh Hart,28.0,12960000
6,Donte DiVincenzo,27.0,10900000
7,Isaiah Hartenstein,25.0,9245121
8,Precious Achiuwa,24.0,4379527
9,Malachi Flynn,25.0,3873025
10,Quentin Grimes,23.0,2385720
11,Ryan Arcidiacono,29.0,2019706
12,Jericho Sims,25.0,1927896
13,Miles McBride,23.0,1836096
18,Dylan Windler,27.0,2019706
19,DaQuan Jeffries,26.0,831385
